window_index,mse
456,0.099796
457,0.102493
458,0.103794
459,0.106463
460,0.104945
461,0.105773
462,0.106323
463,0.104289
464,0.103245
465,0.097069
466,0.098493
467,0.097347
468,0.097988
469,0.095595
470,0.097633
471,0.100266
472,0.101477
473,0.104765
474,0.108816
475,0.107820
