Metric,Value
route__drc_errors__iter:18,5
route__wirelength__iter:18,501772
route__drc_errors__iter:19,5
route__wirelength__iter:19,501772
route__drc_errors__iter:20,2
route__wirelength__iter:20,501771
route__drc_errors__iter:21,2
route__wirelength__iter:21,501771
route__drc_errors__iter:22,2
route__wirelength__iter:22,501771
route__drc_errors__iter:23,2
route__wirelength__iter:23,501771
route__drc_errors__iter:24,2
route__wirelength__iter:24,501771
route__drc_errors__iter:25,2
route__wirelength__iter:25,501771
route__drc_errors__iter:26,2
route__wirelength__iter:26,501771
route__drc_errors__iter:27,2
route__wirelength__iter:27,501771
route__drc_errors__iter:28,2
route__wirelength__iter:28,501771
route__drc_errors__iter:29,2
route__wirelength__iter:29,501771
route__drc_errors__iter:30,2
route__wirelength__iter:30,501771
route__drc_errors__iter:31,2
route__wirelength__iter:31,501771
route__drc_errors__iter:32,2
route__wirelength__iter:32,501771
route__drc_errors__iter:33,2
route__wirelength__iter:33,501771
route__drc_errors__iter:34,2
route__wirelength__iter:34,501771
route__drc_errors__iter:35,2
route__wirelength__iter:35,501771
route__drc_errors__iter:36,2
route__wirelength__iter:36,501771
route__drc_errors__iter:37,2
route__wirelength__iter:37,501771
route__drc_errors__iter:38,0
route__wirelength__iter:38,501770
route__drc_errors,0
route__wirelength,501770
route__vias,112054
route__vias__singlecut,112054
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1227.26
timing__unannotated_net__count__corner:nom_tt_025C_1v80,44
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,44
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,44
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,3
design__max_fanout_violation__count__corner:min_tt_025C_1v80,48
design__max_cap_violation__count__corner:min_tt_025C_1v80,1
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.42287016751822626
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.44374141728188754
timing__hold__ws__corner:min_tt_025C_1v80,0.33287562537476967
timing__setup__ws__corner:min_tt_025C_1v80,17.18296131794135
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.332876
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,44
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,106
design__max_fanout_violation__count__corner:min_ss_100C_1v60,48
design__max_cap_violation__count__corner:min_ss_100C_1v60,1
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.5587973575358999
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.5956124650959749
timing__hold__ws__corner:min_ss_100C_1v60,0.9300982469688968
timing__setup__ws__corner:min_ss_100C_1v60,3.163059237394444
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.930098
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,44
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,48
design__max_cap_violation__count__corner:min_ff_n40C_1v95,1
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.3653976391550803
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.3813597046096128
timing__hold__ws__corner:min_ff_n40C_1v95,0.11277940012205792
timing__setup__ws__corner:min_ff_n40C_1v95,21.71905028411163
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.112779
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,44
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,14
design__max_fanout_violation__count__corner:max_tt_025C_1v80,48
design__max_cap_violation__count__corner:max_tt_025C_1v80,6
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.42993795851518324
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.45478608277667676
timing__hold__ws__corner:max_tt_025C_1v80,0.3418825319613789
timing__setup__ws__corner:max_tt_025C_1v80,16.57816864043972
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.341883
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,44
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,302
design__max_fanout_violation__count__corner:max_ss_100C_1v60,48
design__max_cap_violation__count__corner:max_ss_100C_1v60,7
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.5688231158210227
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.6149716465684837
timing__hold__ws__corner:max_ss_100C_1v60,0.9452081607167778
timing__setup__ws__corner:max_ss_100C_1v60,2.1050504157840857
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.945208
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,44
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,48
design__max_cap_violation__count__corner:max_ff_n40C_1v95,6
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.37140000459632344
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.38959428452729866
timing__hold__ws__corner:max_ff_n40C_1v95,0.11961065809692892
timing__setup__ws__corner:max_ff_n40C_1v95,21.63415996471267
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.119611
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,Infinity
