net,length_um
_0578_,361.1µm
_1932_,357.235µm
net749,356.74µm
net631,356.18µm
_1992_,354.82µm
net701,350.96µm
_0579_,348.98µm
_1428_,347.4µm
clknet_5_18__leaf_clk,347.36µm
net556,347.19µm
_1643_,344.88µm
net316,344.55µm
net613,343.26µm
net605,340.64µm
net785,339.38µm
net604,338.5µm
net780,338.04µm
net801,337.46µm
net598,336.14µm
net535,334.85µm
net362,333.775µm
net575,333.38µm
net521,333.24µm
clknet_5_12__leaf_clk,333.18µm
_2321_,333.02µm
net662,332.57µm
net608,332.35µm
net639,331.245µm
net806,331.195µm
net635,330.59µm
net525,328.1µm
net618,324.96µm
net642,324.895µm
net468,324.63µm
net791,324.37µm
net467,323.015µm
net594,320.94µm
net597,320.56µm
net603,320.12µm
net326,319.3µm
net795,317.6µm
net788,317.38µm
net617,316.955µm
net596,316.88µm
net504,316.2µm
net660,315.5µm
net773,314.2µm
net485,311.44µm
net344,309.2µm
net496,308.99µm
net804,308.92µm
net625,308.02µm
_0549_,307.56µm
net621,307.38µm
net330,304.94µm
net624,304.32µm
_2135_,301.08µm
clknet_5_20__leaf_clk,300.66µm
_2068_,300.3µm
net327,300.095µm
_0486_,299.28µm
net283,298.97µm
net799,298.82µm
net786,298.06µm
net273,296.64µm
net640,296.585µm
net776,295.64µm
clknet_5_23__leaf_clk,295.32µm
net651,293.93µm
net622,293.9µm
net18,293.78µm
net645,293.745µm
net738,293.4µm
clknet_5_31__leaf_clk,290.22µm
clknet_4_10_0_clk,289µm
clknet_5_11__leaf_clk,288.56µm
net611,287.84µm
net502,287.54µm
net466,287.525µm
net606,287.49µm
net808,287.04µm
_1675_,286.42µm
net661,286.06µm
_1726_,285.96µm
clknet_5_29__leaf_clk,285µm
net809,284.855µm
net601,284.32µm
net664,284.065µm
net634,284.06µm
net778,283.99µm
net493,283.26µm
net725,283.12µm
net657,281.08µm
net572,281.06µm
net266,279.52µm
net633,278.42µm
clknet_5_6__leaf_clk,276.32µm
net779,273.2µm
net807,272.8µm
net505,272.66µm
net658,272.38µm
net649,272.22µm
_0516_,271.84µm
net777,271.66µm
net742,271.62µm
net783,270.88µm
net794,270.12µm
net77,269.34µm
net737,268.68µm
net655,267.89µm
net638,267.78µm
net781,267.7µm
net626,266.44µm
_1775_,265.72µm
net595,264.94µm
_0576_,264.46µm
clknet_5_14__leaf_clk,263.83µm
net571,262.54µm
net805,262.3µm
net284,262.04µm
net290,261.91µm
net796,261.86µm
net720,261.64µm
net652,261.32µm
_0485_,260.44µm
net574,260.295µm
net450,259.76µm
net268,258.82µm
clknet_5_9__leaf_clk,258.75µm
net793,258.22µm
net789,258.16µm
clknet_5_27__leaf_clk,257.18µm
net271,256.74µm
clknet_4_12_0_clk,256.24µm
net790,254.64µm
net802,254.04µm
net555,252.66µm
net277,252.34µm
net747,251.96µm
net328,250.815µm
net623,250.28µm
net285,249.85µm
net301,249.26µm
net280,248.605µm
net296,248.02µm
clknet_4_9_0_clk,247.16µm
net8,246.68µm
net494,246.1µm
net304,245.82µm
net360,245.76µm
net529,245.28µm
net599,244.66µm
_1680_,244.62µm
net644,244.18µm
_1631_,243.82µm
net263,243.58µm
net665,241.58µm
net580,241.44µm
clknet_4_7_0_clk,238.9µm
net686,238.46µm
net757,238.24µm
net682,237.2µm
net343,236.96µm
net567,236.2µm
net15,236.04µm
net578,235.52µm
net262,235.14µm
net311,234.92µm
net242,233.88µm
clknet_5_3__leaf_clk,233.68µm
net663,233.27µm
net541,233.22µm
clknet_5_21__leaf_clk,232.3µm
net557,231.92µm
net632,231.92µm
net620,231.64µm
clknet_4_13_0_clk,231.12µm
net551,229.96µm
net487,229.76µm
net282,229.73µm
net741,229.2µm
net329,228.78µm
net699,228.69µm
net320,227.98µm
clknet_4_0_0_clk,227.86µm
net291,227.83µm
_0550_,227.75µm
net516,226.02µm
net688,225.845µm
clknet_5_26__leaf_clk,225.82µm
net455,224.68µm
net321,224.08µm
net279,224µm
net264,223.94µm
clknet_5_4__leaf_clk,223.5µm
net307,223.26µm
net728,222.98µm
net456,222.8µm
net712,222.74µm
net495,222.66µm
clknet_4_1_0_clk,222.64µm
net449,222.32µm
net313,221.775µm
clknet_4_8_0_clk,221.66µm
net364,221.625µm
clknet_5_17__leaf_clk,221.46µm
net379,220.615µm
net310,220µm
net274,219.2µm
net305,219.2µm
_1715_,219.04µm
net577,218.52µm
net706,218.38µm
_0548_,217.7µm
net692,217.56µm
net361,216.81µm
net528,216.12µm
net389,215.84µm
net276,215.64µm
net363,215.02µm
_1679_,214.48µm
net472,214.44µm
clknet_5_0__leaf_clk,214.42µm
clknet_4_11_0_clk,214.32µm
net260,213.76µm
clknet_4_6_0_clk,213.54µm
clknet_5_2__leaf_clk,213.44µm
net471,213.16µm
clknet_4_3_0_clk,212.96µm
net438,212.14µm
net490,211.7µm
net707,211.64µm
net16,211.36µm
net759,211.12µm
net696,210.92µm
net501,210.36µm
net308,209.86µm
net526,208.24µm
net684,207.98µm
net399,207.7µm
net269,207.64µm
net643,207.54µm
net318,207.3µm
net322,207.26µm
net539,206.86µm
net302,206.38µm
net384,206.32µm
clknet_4_2_0_clk,205.22µm
net569,205.18µm
net319,204.92µm
net772,204.56µm
net724,204.08µm
net306,203.98µm
net709,203.9µm
net278,202.32µm
net587,201.52µm
net609,201.16µm
net586,201.06µm
