net,length_um
_2190_,38.84µm
_0273_,38.82µm
net152,38.78µm
clknet_leaf_146_clk,38.74µm
net29,38.48µm
net109,38.44µm
clknet_leaf_181_clk,38.42µm
_1613_,38.32µm
clknet_leaf_215_clk,38.22µm
_1645_,38.08µm
clknet_leaf_205_clk,37.98µm
clknet_leaf_171_clk,37.74µm
net192,37.72µm
clknet_leaf_22_clk,37.57µm
clknet_leaf_23_clk,37.44µm
_2274_,37.4µm
_1908_,37.34µm
net3,37.3µm
_1758_,37.1µm
clknet_leaf_204_clk,36.98µm
_2263_,36.92µm
clknet_leaf_24_clk,36.84µm
clknet_leaf_95_clk,36.78µm
_0209_,36.74µm
_1527_,36.68µm
_1480_,36.48µm
clknet_leaf_172_clk,36.36µm
gen_pe\[2\].pe_inst.out_right\[7\],36.24µm
net64,36.18µm
net270,36.18µm
clknet_leaf_65_clk,36.1µm
net37,36.06µm
_0245_,35.72µm
_1809_,35.72µm
_1498_,35.48µm
clknet_leaf_127_clk,35.48µm
clknet_leaf_74_clk,35.42µm
clknet_leaf_138_clk,35.38µm
_1934_,35.32µm
clknet_leaf_8_clk,35.3µm
_0580_,35.22µm
clknet_leaf_25_clk,35.14µm
_2354_,34.94µm
_1664_,34.86µm
net198,34.72µm
_1475_,34.54µm
net101,34.5µm
net75,34.26µm
net127,34.26µm
clknet_leaf_162_clk,34.18µm
_2209_,34.12µm
_2146_,34.06µm
_1985_,33.94µm
_2183_,33.78µm
net514,33.6µm
_1513_,33.5µm
_1531_,33.42µm
clknet_leaf_38_clk,33.34µm
net180,32.88µm
net147,32.86µm
_1759_,32.7µm
_0556_,32.64µm
_1514_,32.62µm
_1877_,32.58µm
clknet_leaf_122_clk,32.42µm
_0481_,32.21µm
clknet_leaf_90_clk,32.16µm
_1694_,32.14µm
gen_pe\[4\].pe_inst.out_right\[13\],32.08µm
clknet_leaf_66_clk,32µm
clknet_leaf_152_clk,32µm
_1755_,31.96µm
_1528_,31.855µm
clknet_leaf_203_clk,31.74µm
_2180_,31.44µm
_2006_,31.4µm
_2149_,31.32µm
_1892_,30.82µm
_1942_,30.66µm
clknet_leaf_102_clk,30.5µm
_1786_,30.44µm
clknet_leaf_19_clk,30.42µm
_2120_,30.32µm
_2026_,30.16µm
_2085_,30.06µm
_1820_,30.04µm
_2273_,30.02µm
net188,29.94µm
_2225_,29.82µm
_2322_,29.52µm
net186,29.18µm
_1663_,29.16µm
_1691_,29.16µm
_1501_,29.12µm
gen_pe\[2\].pe_inst.out_right\[2\],29.1µm
_2145_,29.04µm
clknet_leaf_231_clk,29.02µm
_1635_,28.98µm
_2317_,28.96µm
_1666_,28.72µm
_1508_,28.62µm
_1950_,28.6µm
_2133_,28.58µm
clknet_leaf_229_clk,28.56µm
_0196_,28.52µm
_2201_,28.5µm
_1458_,28.44µm
_2269_,28.4µm
clknet_leaf_117_clk,28.4µm
clknet_leaf_70_clk,28.36µm
_1812_,28.28µm
_2328_,28.14µm
net168,28.1µm
_1888_,28.06µm
clknet_leaf_154_clk,27.96µm
_0369_,27.8µm
_2175_,27.8µm
_1425_,27.74µm
clknet_leaf_194_clk,27.64µm
clknet_leaf_49_clk,27.56µm
net234,27.54µm
_0295_,27.48µm
_1509_,27.36µm
_1700_,27.18µm
_1846_,27.18µm
_1970_,27.12µm
_1863_,27.08µm
_2339_,27.02µm
_1412_,26.92µm
_1506_,26.92µm
_2179_,26.9µm
_1466_,26.88µm
_2005_,26.8µm
_1420_,26.76µm
_1710_,26.74µm
_2128_,26.66µm
_1930_,26.64µm
gen_left\[2\]\[0\],26.64µm
_1476_,26.56µm
gen_left\[6\]\[15\],26.44µm
clknet_leaf_126_clk,26.44µm
_0202_,26.4µm
_1618_,26.38µm
_1957_,26.28µm
_1698_,26.26µm
_1628_,26.16µm
_1414_,26.14µm
net190,26.14µm
_2050_,26.1µm
_1502_,26.08µm
clknet_leaf_135_clk,26.06µm
net196,26.04µm
clknet_leaf_58_clk,26.02µm
_1760_,26µm
_1811_,25.88µm
_2301_,25.84µm
_1729_,25.82µm
_1496_,25.76µm
_2070_,25.72µm
_2029_,25.68µm
_1766_,25.66µm
_0633_,25.64µm
_0278_,25.56µm
clknet_leaf_99_clk,25.56µm
_2047_,25.54µm
_1871_,25.48µm
_1916_,25.42µm
_1637_,25.4µm
_2025_,25.34µm
_2189_,25.34µm
_1778_,25.32µm
_1885_,25.32µm
_1630_,25.26µm
clknet_leaf_210_clk,25.26µm
_1457_,25.225µm
clknet_leaf_54_clk,25.18µm
_1944_,25.12µm
net170,25.08µm
net172,25.08µm
_1668_,25.06µm
_1677_,24.98µm
_1641_,24.94µm
_1449_,24.9µm
_0307_,24.84µm
_1512_,24.82µm
_2002_,24.805µm
gen_pe\[0\].pe_inst.out_right\[25\],24.8µm
clknet_leaf_151_clk,24.72µm
clknet_leaf_208_clk,24.68µm
_1451_,24.62µm
net181,24.6µm
_0601_,24.56µm
_1917_,24.54µm
_1495_,24.385µm
_2113_,24.36µm
clknet_leaf_163_clk,24.34µm
_1739_,24.3µm
_1880_,24.3µm
net215,24.3µm
clknet_leaf_217_clk,24.3µm
_1972_,24.28µm
gen_left\[4\]\[7\],24.26µm
gen_pe\[4\].pe_inst.out_right\[4\],24.24µm
_1752_,24.22µm
_2234_,24.2µm
clknet_leaf_209_clk,24.16µm
_2188_,24.14µm
_1845_,24.08µm
gen_pe\[4\].pe_inst.out_right\[3\],24.08µm
net250,24.08µm
_1964_,24.06µm
_1741_,24µm
_1981_,23.98µm
_2148_,23.98µm
_1709_,23.96µm
_1474_,23.88µm
clknet_leaf_96_clk,23.88µm
clknet_leaf_67_clk,23.84µm
gen_pe\[2\].pe_inst.out_right\[10\],23.8µm
clknet_leaf_1_clk,23.72µm
_1697_,23.54µm
net175,23.54µm
_1777_,23.52µm
_1780_,23.5µm
_2110_,23.5µm
_2182_,23.5µm
_2033_,23.46µm
_2251_,23.28µm
_1753_,23.205µm
_0306_,23.2µm
_1966_,23.2µm
_1669_,23.16µm
_1717_,23.16µm
_1878_,23.12µm
_2360_,23.12µm
net191,23.12µm
_1860_,23.08µm
_2130_,23.04µm
_1743_,23.02µm
_1835_,23.02µm
_2226_,23.02µm
_2255_,23µm
_0570_,22.98µm
_1439_,22.96µm
_1899_,22.92µm
_0340_,22.86µm
_1482_,22.8µm
_2125_,22.8µm
_0392_,22.74µm
_1737_,22.66µm
gen_left\[0\]\[17\],22.62µm
net1261,22.6µm
_1902_,22.52µm
_2241_,22.5µm
clknet_leaf_202_clk,22.5µm
_0247_,22.48µm
_2035_,22.42µm
_1991_,22.4µm
net193,22.36µm
_1692_,22.32µm
_1895_,22.28µm
_1821_,22.23µm
_1762_,22.22µm
_1706_,22.16µm
_2048_,22.16µm
gen_pe\[4\].pe_inst.out_right\[24\],22.08µm
_1904_,22.02µm
clknet_leaf_201_clk,21.98µm
_2152_,21.97µm
_1793_,21.96µm
_1906_,21.96µm
_2319_,21.84µm
_2252_,21.82µm
net128,21.78µm
_1703_,21.74µm
net1254,21.72µm
_1855_,21.7µm
_2192_,21.7µm
net164,21.66µm
_2297_,21.62µm
_2181_,21.56µm
clknet_leaf_227_clk,21.56µm
_0615_,21.5µm
_0634_,21.48µm
_1730_,21.465µm
clknet_leaf_61_clk,21.46µm
clknet_leaf_221_clk,21.46µm
_2240_,21.455µm
_0398_,21.4µm
_1744_,21.36µm
_2365_,21.36µm
_0533_,21.32µm
_2138_,21.28µm
_1701_,21.24µm
_1969_,21.24µm
_1974_,21.24µm
_1883_,21.2µm
_2057_,21.2µm
_1713_,21.16µm
gen_left\[2\]\[11\],21.16µm
_2052_,21.14µm
_2140_,21.14µm
gen_pe\[6\].pe_inst.out_right\[31\],21.12µm
_1624_,21.02µm
net132,20.98µm
_0362_,20.86µm
_1997_,20.86µm
_1996_,20.78µm
_1896_,20.7µm
_1841_,20.68µm
_2127_,20.66µm
clknet_leaf_160_clk,20.66µm
_2099_,20.64µm
_1627_,20.58µm
_1545_,20.56µm
gen_pe\[2\].pe_inst.out_right\[6\],20.56µm
_1823_,20.55µm
_2010_,20.48µm
_2314_,20.48µm
_1448_,20.46µm
_2366_,20.44µm
_1459_,20.41µm
_1622_,20.4µm
_1720_,20.4µm
_2256_,20.4µm
_2295_,20.36µm
_1807_,20.34µm
_1886_,20.32µm
_2019_,20.32µm
_2282_,20.2µm
_2151_,20.155µm
_1642_,20.02µm
net65,20.02µm
gen_left\[4\]\[9\],19.98µm
_2045_,19.94µm
gen_left\[4\]\[8\],19.86µm
_1986_,19.82µm
net165,19.82µm
_1431_,19.78µm
_1847_,19.74µm
clknet_leaf_145_clk,19.74µm
_1667_,19.66µm
_2003_,19.62µm
_1922_,19.58µm
clknet_leaf_142_clk,19.58µm
_0274_,19.54µm
_2316_,19.54µm
_1824_,19.52µm
_1870_,19.48µm
gen_left\[4\]\[28\],19.48µm
_1911_,19.44µm
_1958_,19.4µm
_2218_,19.4µm
_2364_,19.4µm
_1612_,19.32µm
_1497_,19.28µm
_1879_,19.28µm
_2362_,19.28µm
clknet_leaf_155_clk,19.28µm
_1473_,19.22µm
_1707_,19.15µm
gen_left\[1\]\[28\],19.125µm
_2277_,19.1µm
net160,19.1µm
_1857_,19.06µm
net1260,19.06µm
_0409_,18.98µm
_0360_,18.96µm
_1419_,18.94µm
_2122_,18.94µm
gen_pe\[4\].pe_inst.out_right\[6\],18.92µm
_2170_,18.88µm
net74,18.86µm
clknet_leaf_40_clk,18.86µm
_0510_,18.74µm
clknet_leaf_81_clk,18.74µm
_1989_,18.7µm
clknet_leaf_73_clk,18.66µm
_1754_,18.64µm
_1563_,18.6µm
_2097_,18.56µm
_2357_,18.56µm
_0323_,18.48µm
_1438_,18.375µm
_1608_,18.34µm
gen_left\[1\]\[15\],18.32µm
_1979_,18.28µm
clknet_leaf_50_clk,18.28µm
_1640_,18.26µm
_1469_,18.245µm
_1746_,18.24µm
_0290_,18.14µm
_1798_,18.1µm
net856,18.1µm
clknet_leaf_125_clk,18.08µm
_0532_,18.06µm
net39,18.06µm
_2272_,18.04µm
_1782_,18.02µm
_1874_,17.98µm
_1648_,17.96µm
_2155_,17.94µm
net1253,17.88µm
_1781_,17.86µm
_1983_,17.8µm
_2123_,17.8µm
_1450_,17.76µm
_1684_,17.72µm
_2058_,17.695µm
_1854_,17.64µm
net144,17.6µm
_1530_,17.52µm
clknet_leaf_97_clk,17.52µm
_1982_,17.515µm
gen_left\[4\]\[14\],17.5µm
clknet_leaf_132_clk,17.44µm
_0449_,17.405µm
clknet_leaf_211_clk,17.4µm
gen_left\[2\]\[22\],17.36µm
_1945_,17.34µm
net201,17.3µm
gen_left\[6\]\[29\],17.28µm
_1838_,17.26µm
_1686_,17.24µm
net166,17.22µm
_1626_,17.18µm
_1529_,17.14µm
_1665_,17.14µm
_2298_,17.14µm
_1955_,17.1µm
_2348_,17.06µm
_2299_,17.02µm
clknet_leaf_35_clk,16.98µm
_1891_,16.94µm
_0407_,16.9µm
_1894_,16.9µm
_2153_,16.9µm
gen_left\[4\]\[12\],16.88µm
_1826_,16.8µm
_2254_,16.78µm
_2307_,16.78µm
_2318_,16.72µm
_1975_,16.7µm
_1659_,16.68µm
_1504_,16.64µm
_1869_,16.64µm
_2288_,16.64µm
_2356_,16.6µm
_1848_,16.55µm
_2291_,16.54µm
clknet_leaf_100_clk,16.52µm
clknet_leaf_174_clk,16.52µm
_1853_,16.48µm
_2083_,16.48µm
_1735_,16.46µm
_0572_,16.44µm
_2142_,16.44µm
_1727_,16.4µm
_0498_,16.38µm
_1794_,16.36µm
_0586_,16.34µm
_1670_,16.3µm
_1526_,16.26µm
_2009_,16.26µm
net4,16.22µm
_1413_,16.14µm
gen_left\[2\]\[28\],16.14µm
_1893_,16.12µm
_2330_,16.1µm
_2111_,16.06µm
_0254_,16.04µm
_1795_,15.98µm
_1822_,15.9µm
_2173_,15.88µm
net99,15.88µm
_1818_,15.86µm
_1599_,15.84µm
gen_left\[2\]\[2\],15.84µm
_0192_,15.8µm
_2078_,15.8µm
_2080_,15.8µm
_2363_,15.8µm
_2315_,15.76µm
_2358_,15.76µm
net143,15.76µm
net162,15.76µm
_2154_,15.74µm
gen_left\[6\]\[3\],15.7µm
_1410_,15.68µm
_1416_,15.68µm
_1682_,15.68µm
net844,15.68µm
_0600_,15.66µm
_0300_,15.62µm
_0200_,15.58µm
_1699_,15.58µm
_2210_,15.54µm
gen_left\[4\]\[29\],15.52µm
_2367_,15.5µm
_1868_,15.46µm
gen_left\[6\]\[10\],15.46µm
_0321_,15.42µm
_1690_,15.42µm
gen_left\[4\]\[27\],15.42µm
net30,15.42µm
gen_left\[2\]\[14\],15.4µm
net112,15.4µm
_1548_,15.38µm
_1731_,15.38µm
_2137_,15.38µm
gen_pe\[3\].pe_inst.out_right\[2\],15.38µm
_1806_,15.34µm
_1921_,15.34µm
_2115_,15.34µm
_2287_,15.28µm
_1601_,15.26µm
_2096_,15.26µm
_2162_,15.26µm
net124,15.26µm
net174,15.26µm
net1107,15.26µm
_2011_,15.16µm
_2044_,15.16µm
_0540_,15.12µm
_1740_,15.1µm
gen_left\[4\]\[0\],15.1µm
_1940_,15.02µm
_1935_,15µm
_1875_,14.98µm
_1423_,14.96µm
_2349_,14.96µm
_2075_,14.92µm
_1319_,14.87µm
_1442_,14.84µm
_1483_,14.84µm
_1583_,14.8µm
clknet_leaf_159_clk,14.76µm
_1858_,14.74µm
_1909_,14.72µm
_2143_,14.72µm
gen_pe\[3\].pe_inst.out_right\[25\],14.685µm
_2150_,14.62µm
_0339_,14.6µm
_1938_,14.6µm
_2121_,14.56µm
_0585_,14.54µm
_2271_,14.52µm
_2257_,14.5µm
_2248_,14.48µm
_2020_,14.46µm
_0270_,14.42µm
_2227_,14.42µm
_2267_,14.42µm
in_data_flat[123],14.4µm
in_data_flat[156],14.4µm
_1967_,14.38µm
_2074_,14.38µm
_2342_,14.38µm
_0624_,14.3µm
net146,14.3µm
_0311_,14.22µm
_2007_,14.2µm
_2031_,14.175µm
_0421_,14.14µm
gen_pe\[4\].pe_inst.out_right\[5\],14.12µm
gen_pe\[6\].pe_inst.out_right\[9\],14.1µm
_0608_,14.08µm
_1887_,14.08µm
_2292_,14.08µm
gen_pe\[1\].pe_inst.out_right\[0\],14.08µm
_0262_,14.06µm
_0350_,14.06µm
net194,14.04µm
_1849_,14.02µm
_2229_,14.02µm
_0451_,14µm
gen_pe\[4\].pe_inst.out_right\[22\],14µm
_1445_,13.96µm
net157,13.96µm
gen_left\[6\]\[30\],13.9µm
_0252_,13.88µm
_2323_,13.86µm
_1653_,13.84µm
_1446_,13.8µm
_1733_,13.8µm
net1257,13.76µm
_0410_,13.7µm
_2296_,13.66µm
gen_pe\[4\].pe_inst.out_right\[25\],13.66µm
_1579_,13.62µm
gen_left\[2\]\[15\],13.6µm
_0308_,13.58µm
_2200_,13.58µm
_1602_,13.56µm
_2320_,13.56µm
_0621_,13.54µm
_2129_,13.54µm
_2197_,13.54µm
net223,13.54µm
net256,13.54µm
gen_pe\[5\].pe_inst.out_right\[1\],13.52µm
_1941_,13.5µm
_2199_,13.5µm
_2281_,13.48µm
in_data_flat[141],13.4µm
in_data_flat[173],13.4µm
_0332_,13.38µm
_1842_,13.38µm
_1959_,13.38µm
in_data_flat[254],13.38µm
_0167_,13.32µm
_1954_,13.3µm
gen_left\[1\]\[0\],13.26µm
_0484_,13.2µm
_1400_,13.2µm
gen_left\[6\]\[2\],13.2µm
_0365_,13.16µm
_1649_,13.16µm
net12,13.16µm
_1714_,13.14µm
_1673_,13.12µm
_1728_,13.12µm
net139,13.08µm
gen_left\[5\]\[27\],13.02µm
_1865_,13µm
_1927_,12.96µm
_2202_,12.96µm
net178,12.96µm
in_data_flat[88],12.94µm
gen_left\[6\]\[0\],12.92µm
gen_pe\[3\].pe_inst.out_right\[13\],12.86µm
gen_pe\[5\].pe_inst.out_right\[8\],12.82µm
_1779_,12.8µm
_2161_,12.8µm
_0470_,12.76µm
gen_pe\[2\].pe_inst.out_right\[22\],12.76µm
_0016_,12.7µm
_0074_,12.7µm
_1617_,12.7µm
_1721_,12.7µm
_1851_,12.7µm
_2040_,12.7µm
_2293_,12.7µm
in_data_flat[192],12.7µm
_2069_,12.66µm
gen_pe\[6\].pe_inst.out_right\[27\],12.66µm
gen_left\[3\]\[14\],12.625µm
_2334_,12.62µm
gen_pe\[4\].pe_inst.out_right\[27\],12.62µm
_1638_,12.6µm
_1606_,12.56µm
_0429_,12.54µm
_2353_,12.54µm
gen_left\[2\]\[1\],12.54µm
_1702_,12.52µm
_2134_,12.5µm
_2185_,12.5µm
_2206_,12.5µm
net251,12.5µm
net1050,12.5µm
_2059_,12.46µm
clknet_leaf_57_clk,12.42µm
_0508_,12.38µm
_2290_,12.38µm
out_data_flat[222],12.36µm
out_data_flat[223],12.36µm
out_data_flat[254],12.36µm
_0571_,12.33µm
_0240_,12.3µm
_0310_,12.3µm
_2014_,12.3µm
_2082_,12.3µm
gen_left\[4\]\[15\],12.3µm
_0344_,12.28µm
_2016_,12.24µm
_2216_,12.24µm
_2335_,12.24µm
_1751_,12.2µm
net23,12.2µm
net45,12.2µm
net179,12.2µm
_0227_,12.16µm
_1866_,12.16µm
gen_pe\[2\].pe_inst.out_right\[27\],12.16µm
_1907_,12.14µm
_2159_,12.12µm
_2184_,12.08µm
_2265_,12.08µm
_1943_,12.04µm
gen_left\[2\]\[29\],12.04µm
_1742_,12.02µm
in_data_flat[120],12.02µm
in_data_flat[124],12.02µm
in_data_flat[125],12.02µm
in_data_flat[126],12.02µm
in_data_flat[127],12.02µm
in_data_flat[157],12.02µm
in_data_flat[158],12.02µm
in_data_flat[159],12.02µm
in_data_flat[188],12.02µm
in_data_flat[189],12.02µm
in_data_flat[190],12.02µm
in_data_flat[191],12.02µm
in_data_flat[220],12.02µm
in_data_flat[221],12.02µm
in_data_flat[24],12.02µm
in_data_flat[252],12.02µm
in_data_flat[27],12.02µm
in_data_flat[28],12.02µm
in_data_flat[29],12.02µm
in_data_flat[31],12.02µm
in_data_flat[62],12.02µm
in_data_flat[63],12.02µm
in_data_flat[89],12.02µm
in_data_flat[90],12.02µm
in_data_flat[91],12.02µm
in_data_flat[92],12.02µm
in_data_flat[93],12.02µm
in_data_flat[94],12.02µm
in_data_flat[95],12.02µm
_0354_,12µm
_1803_,11.98µm
_0543_,11.94µm
in_data_flat[160],11.94µm
_2289_,11.92µm
_0625_,11.82µm
gen_left\[0\]\[14\],11.82µm
_1424_,11.78µm
gen_left\[1\]\[7\],11.78µm
net158,11.78µm
_2262_,11.74µm
_0177_,11.72µm
_0428_,11.7µm
_1566_,11.7µm
out_data_flat[16],11.68µm
out_data_flat[18],11.68µm
_1432_,11.62µm
_1825_,11.6µm
in_data_flat[174],11.56µm
_1564_,11.5µm
in_data_flat[194],11.48µm
in_data_flat[22],11.48µm
gen_pe\[2\].pe_inst.out_right\[18\],11.46µm
_1924_,11.44µm
_1861_,11.42µm
_0203_,11.4µm
_0216_,11.38µm
_0506_,11.38µm
_1988_,11.36µm
_2361_,11.36µm
gen_left\[1\]\[17\],11.36µm
gen_left\[2\]\[10\],11.36µm
gen_left\[2\]\[25\],11.36µm
gen_left\[0\]\[3\],11.32µm
gen_left\[3\]\[24\],11.32µm
_1736_,11.3µm
gen_left\[3\]\[15\],11.3µm
_1797_,11.28µm
_0281_,11.275µm
_1919_,11.26µm
_0584_,11.24µm
_2104_,11.24µm
_2208_,11.24µm
gen_left\[2\]\[30\],11.24µm
gen_pe\[2\].pe_inst.out_right\[26\],11.24µm
gen_pe\[4\].pe_inst.out_right\[2\],11.24µm
net159,11.24µm
_2231_,11.2µm
_2359_,11.2µm
_1724_,11.16µm
_1937_,11.16µm
_2346_,11.16µm
in_data_flat[53],11.14µm
in_data_flat[54],11.14µm
gen_left\[3\]\[5\],11.12µm
in_data_flat[204],11.1µm
in_data_flat[205],11.1µm
in_data_flat[206],11.1µm
in_data_flat[233],11.1µm
in_data_flat[234],11.1µm
in_data_flat[235],11.1µm
in_data_flat[236],11.1µm
in_data_flat[237],11.1µm
in_data_flat[238],11.1µm
in_data_flat[239],11.1µm
in_data_flat[253],11.1µm
in_data_flat[25],11.1µm
in_data_flat[26],11.1µm
in_data_flat[30],11.1µm
in_data_flat[56],11.1µm
in_data_flat[57],11.1µm
in_data_flat[58],11.1µm
in_data_flat[59],11.1µm
in_data_flat[60],11.1µm
in_data_flat[61],11.1µm
_1946_,11.08µm
_2124_,11.06µm
_0609_,11.02µm
in_data_flat[19],11.02µm
_1925_,11µm
out_data_flat[221],11µm
out_data_flat[252],11µm
out_data_flat[28],11µm
out_data_flat[29],11µm
out_data_flat[30],11µm
out_data_flat[58],11µm
net1004,11µm
_0253_,10.985µm
_0317_,10.98µm
_0780_,10.98µm
_1130_,10.96µm
gen_left\[0\]\[2\],10.96µm
_0359_,10.92µm
gen_left\[3\]\[1\],10.92µm
gen_pe\[4\].pe_inst.out_right\[1\],10.92µm
gen_pe\[5\].pe_inst.out_right\[7\],10.92µm
_0036_,10.9µm
_0226_,10.9µm
_0246_,10.9µm
gen_left\[2\]\[12\],10.9µm
_1808_,10.86µm
_2186_,10.86µm
gen_left\[6\]\[28\],10.86µm
gen_pe\[1\].pe_inst.out_right\[2\],10.86µm
net169,10.86µm
gen_left\[1\]\[22\],10.84µm
_2249_,10.8µm
out_data_flat[131],10.8µm
gen_left\[6\]\[31\],10.78µm
gen_pe\[0\].pe_inst.out_right\[5\],10.78µm
in_data_flat[122],10.76µm
in_data_flat[155],10.76µm
_1374_,10.74µm
_1804_,10.74µm
_2204_,10.74µm
_2368_,10.74µm
net1044,10.74µm
_1554_,10.72µm
net1037,10.72µm
_0299_,10.68µm
net1256,10.68µm
_0033_,10.66µm
_1486_,10.66µm
_1558_,10.66µm
_1619_,10.66µm
_1995_,10.64µm
_0442_,10.62µm
_1748_,10.62µm
net197,10.62µm
_2043_,10.6µm
_1750_,10.58µm
_2088_,10.58µm
_0312_,10.56µm
_0632_,10.56µm
out_data_flat[120],10.54µm
out_data_flat[121],10.54µm
out_data_flat[122],10.54µm
out_data_flat[123],10.54µm
out_data_flat[124],10.54µm
out_data_flat[125],10.54µm
out_data_flat[126],10.54µm
out_data_flat[127],10.54µm
out_data_flat[155],10.54µm
out_data_flat[156],10.54µm
out_data_flat[157],10.54µm
out_data_flat[158],10.54µm
out_data_flat[159],10.54µm
out_data_flat[188],10.54µm
out_data_flat[189],10.54µm
out_data_flat[190],10.54µm
out_data_flat[191],10.54µm
out_data_flat[204],10.54µm
out_data_flat[205],10.54µm
out_data_flat[206],10.54µm
out_data_flat[220],10.54µm
out_data_flat[233],10.54µm
out_data_flat[234],10.54µm
out_data_flat[235],10.54µm
out_data_flat[236],10.54µm
out_data_flat[237],10.54µm
out_data_flat[238],10.54µm
out_data_flat[239],10.54µm
out_data_flat[24],10.54µm
out_data_flat[253],10.54µm
out_data_flat[25],10.54µm
out_data_flat[26],10.54µm
out_data_flat[27],10.54µm
out_data_flat[31],10.54µm
out_data_flat[56],10.54µm
out_data_flat[57],10.54µm
out_data_flat[59],10.54µm
out_data_flat[60],10.54µm
out_data_flat[61],10.54µm
out_data_flat[62],10.54µm
out_data_flat[63],10.54µm
out_data_flat[88],10.54µm
out_data_flat[89],10.54µm
out_data_flat[90],10.54µm
out_data_flat[91],10.54µm
out_data_flat[92],10.54µm
out_data_flat[93],10.54µm
out_data_flat[94],10.54µm
out_data_flat[95],10.54µm
_1614_,10.5µm
_0893_,10.49µm
_2022_,10.48µm
_0342_,10.46µm
_0436_,10.46µm
_0629_,10.46µm
_1615_,10.46µm
_0453_,10.44µm
_1832_,10.4µm
_2061_,10.4µm
net1190,10.4µm
_0513_,10.36µm
_0524_,10.36µm
_2024_,10.36µm
_2039_,10.36µm
_2350_,10.36µm
_2294_,10.34µm
_1562_,10.32µm
gen_left\[2\]\[3\],10.32µm
_1695_,10.28µm
gen_left\[0\]\[23\],10.28µm
_1956_,10.24µm
_1610_,10.2µm
_2264_,10.2µm
_1259_,10.19µm
_1147_,10.18µm
_0501_,10.165µm
net850,10.16µm
_2347_,10.14µm
_0373_,10.13µm
_0370_,10.12µm
_1417_,10.1µm
in_data_flat[68],10.1µm
_0072_,10.08µm
net980,10.06µm
_0605_,10µm
_1654_,10µm
_1704_,10µm
_1774_,10µm
_2118_,10µm
_2157_,10µm
_0185_,9.98µm
_0225_,9.98µm
_0243_,9.98µm
_0309_,9.98µm
_1372_,9.98µm
_2228_,9.98µm
_0291_,9.94µm
_1433_,9.94µm
_2147_,9.94µm
_2278_,9.94µm
net110,9.94µm
_1867_,9.9µm
_2312_,9.9µm
_1616_,9.88µm
gen_pe\[0\].pe_inst.out_right\[3\],9.88µm
net1243,9.88µm
_1629_,9.86µm
gen_left\[2\]\[27\],9.86µm
gen_left\[5\]\[8\],9.86µm
gen_pe\[6\].pe_inst.out_right\[2\],9.84µm
_1586_,9.82µm
_1910_,9.82µm
_2302_,9.82µm
_2332_,9.82µm
gen_left\[4\]\[3\],9.82µm
_1594_,9.78µm
_1607_,9.78µm
_2214_,9.78µm
_1018_,9.72µm
gen_pe\[2\].pe_inst.out_right\[15\],9.7µm
_0023_,9.66µm
clknet_leaf_225_clk,9.66µm
_1655_,9.64µm
in_data_flat[132],9.64µm
in_data_flat[193],9.64µm
in_data_flat[195],9.64µm
in_data_flat[197],9.64µm
in_data_flat[20],9.64µm
in_data_flat[21],9.64µm
in_data_flat[224],9.64µm
in_data_flat[227],9.64µm
in_data_flat[228],9.64µm
in_data_flat[229],9.64µm
in_data_flat[230],9.64µm
in_data_flat[232],9.64µm
_1977_,9.62µm
gen_left\[0\]\[27\],9.62µm
gen_pe\[3\].pe_inst.out_right\[28\],9.62µm
_2176_,9.6µm
gen_left\[1\]\[2\],9.58µm
net1237,9.58µm
_0199_,9.56µm
_1352_,9.56µm
_0581_,9.54µm
_1951_,9.54µm
_1738_,9.53µm
_2158_,9.52µm
net67,9.52µm
_0650_,9.49µm
_0108_,9.48µm
_0422_,9.48µm
_1914_,9.48µm
gen_left\[6\]\[7\],9.46µm
_0271_,9.44µm
_1652_,9.44µm
net34,9.44µm
_0006_,9.42µm
_2212_,9.42µm
_2370_,9.42µm
out_data_flat[135],9.42µm
out_data_flat[193],9.42µm
_2174_,9.4µm
_2300_,9.4µm
gen_pe\[4\].pe_inst.out_right\[14\],9.4µm
gen_pe\[4\].pe_inst.out_right\[7\],9.4µm
net232,9.4µm
_1719_,9.36µm
_1771_,9.36µm
_1884_,9.36µm
_2117_,9.36µm
gen_pe\[0\].pe_inst.out_right\[7\],9.36µm
gen_pe\[6\].pe_inst.out_right\[26\],9.36µm
_0783_,9.33µm
_2306_,9.32µm
net1092,9.32µm
_0620_,9.3µm
net1059,9.28µm
_0666_,9.21µm
_0689_,9.21µm
_0293_,9.2µm
net1246,9.2µm
_0417_,9.18µm
in_data_flat[162],9.18µm
_1461_,9.12µm
gen_pe\[5\].pe_inst.out_right\[27\],9.12µm
_1200_,9.11µm
_0525_,9.1µm
_1939_,9.1µm
_0512_,9.08µm
_2168_,9.08µm
gen_left\[2\]\[24\],9.08µm
gen_left\[2\]\[31\],9.08µm
gen_left\[4\]\[30\],9.08µm
net993,9.08µm
_0038_,9.06µm
_0466_,9.06µm
_0567_,9.06µm
gen_left\[2\]\[13\],9.06µm
_1570_,9.04µm
_1026_,9.03µm
_0319_,9.02µm
_1913_,9.02µm
_2309_,9.02µm
_2325_,9.02µm
gen_left\[3\]\[0\],9.02µm
gen_pe\[1\].pe_inst.out_right\[11\],9.02µm
gen_pe\[3\].pe_inst.out_right\[3\],9.02µm
net918,9.02µm
net1244,9.02µm
_0447_,8.98µm
